OBJECTID,ID,DIST_NM,DIST_NUM,CNTY_NM,CNTY_NUM,TRF_STA_ID,AADT_2022,x,y
105,46473,Lubbock,5,Dawson,58,58FS4,13,-101.936744999682,32.8850820000343
106,46489,Lubbock,5,Dawson,58,58U1,5,-101.894759999774,32.8630829999805
107,46561,Lubbock,5,Dawson,58,58CR8,4,-101.731788999962,32.9106290000284
108,46593,Lubbock,5,Terry,223,223U5,10,-102.222854999758,33.2368659997661
109,46617,Lubbock,5,Terry,223,223CR6,9,-102.229355000033,33.2972449998569
110,46633,Lubbock,0,Terry,223,223RS5,5,-102.208892999812,33.3347780004045
111,46681,Lubbock,5,Terry,223,223CR9,4,-102.195274000395,33.3624729996293
112,46689,Lubbock,5,Terry,223,223CR10,12,-102.192512999875,33.3697699997857
113,47369,Lubbock,5,Lynn,153,153CR45,12,-101.808265999576,33.0637170000396
114,47433,Lubbock,5,Lynn,153,153CR71A,8,-101.799766999747,33.2830279998424
115,50841,Lubbock,5,Lubbock,152,152XD69,12,-101.826942000173,33.542144999792
116,50937,Lubbock,5,Lubbock,152,152XD71,11,-101.822600999636,33.5422589996531
117,51137,Odessa,6,MARTIN,156,156FS8,11,-101.706977999735,32.3303759999525
118,51145,Odessa,6,MARTIN,156,156FS9,8,-101.706291000429,32.4630930003418
119,51201,Lubbock,5,Garza,86,86FS24,9,-101.530281000068,33.2716749997015
120,51209,Lubbock,5,Lynn,153,153CR6,14,-101.6879350002,33.3530539996424
121,51225,Lubbock,5,Lynn,153,153CR10,14,-101.653312999895,33.3919300000695
122,51465,Lubbock,5,Lubbock,152,152UD29,7,-101.675049000411,33.4641339995845
123,51873,Lubbock,5,Garza,86,86FS21,3,-101.444098999869,33.1357420002931
124,51921,Lubbock,5,Garza,86,86CR48,2,-101.400711000013,33.2022669996224
125,52057,Lubbock,5,Garza,86,86CR7,11,-101.206061999861,33.0421710001916
126,52089,Lubbock,5,Garza,86,86CR2,7,-101.231452999856,33.3485070003978
127,52153,Childress,25,Dickens,63,63FS106,2,-100.872902000127,33.4808620002811
128,52177,Childress,25,Dickens,63,63FS2,9,-100.870711999859,33.5512580000567
129,52185,Childress,25,Dickens,63,63FS12,7,-100.839393999933,33.4278530001159
130,52241,Childress,25,Dickens,63,63FS109,11,-100.847793999693,33.4754030003483
131,52265,Childress,25,Dickens,63,63CR14,4,-100.806785999874,33.4469569997658
132,52273,Childress,25,Dickens,63,63FS14,7,-100.664771999728,33.4117809999932
133,52289,Childress,25,Dickens,63,63CR9,14,-100.781745999878,33.4721759999225
134,52305,Childress,25,Dickens,63,63FS18,10,-100.760712000259,33.5157890002622
135,52321,Lubbock,5,Cochran,40,40CR36,6,-102.894896999597,33.7957120001088
136,52353,Lubbock,5,Cochran,40,40CR41,12,-102.763062000311,33.7908780002196
137,52489,Lubbock,5,Parmer,185,185FS30,2,-102.798355000083,34.47085199982
138,52537,Lubbock,5,Parmer,185,185CR111,14,-102.781226999826,34.5985030004132
139,52545,Lubbock,5,Parmer,185,185CR28,12,-102.780196999992,34.5952610001951
140,52585,Lubbock,0,Cochran,40,40RS3,11,-102.755043000134,33.7272260002798
141,52641,Lubbock,5,Hockley,111,111CR92,10,-102.564017999831,33.5983580002216
142,52657,Lubbock,5,Hockley,111,111CR93,12,-102.539596999602,33.5978429998546
143,53121,Lubbock,0,Hockley,111,111CR167,11,-102.411507000348,33.7250820003341
144,53497,Lubbock,5,Lamb,140,140CR86,6,-102.381340000441,33.968067000092
145,53801,Lubbock,0,Lamb,140,140RS205,14,-102.328568000413,33.9310150001422
146,53905,Lubbock,5,Lamb,140,140FS21,10,-102.280951999835,33.8818970004463
147,53921,Lubbock,5,Lamb,140,140CR131,8,-102.243834999586,33.8639789997311
148,53953,Lubbock,5,Bailey,9,9CR8,2,-102.663292000325,34.0971069999881
149,53961,Lubbock,5,Bailey,9,9CR5,6,-102.689177999765,34.2057419995937
150,54169,Lubbock,5,Lamb,140,140CR97,4,-102.571372999964,34.1081890002222
151,54177,Lubbock,5,Lamb,140,140CR97A,3,-102.589592000171,34.1228520001197
152,54185,Lubbock,5,Lamb,140,140CR96,14,-102.553657999617,34.093094000188
153,54249,Lubbock,0,Lamb,140,140RS7,11,-102.404609999752,34.2303280002371
154,54273,Lubbock,5,Castro,35,35FS30,3,-102.345359999564,34.319518999802
155,54297,Lubbock,5,Castro,35,35FS31,14,-102.373222000195,34.4999350001002
156,54417,Lubbock,5,Castro,35,35CR37,8,-102.247390999895,34.4966770000436
157,54529,Lubbock,5,Hockley,111,111CR11,7,-102.13828300006,33.7897569997858
158,54545,Lubbock,5,Hockley,111,111CR13,4,-102.120994999619,33.7765919997211
159,54881,Lubbock,5,Lubbock,152,152CR32,11,-102.04430400003,33.7336539999322
160,54889,Lubbock,5,Hockley,111,111CR14,8,-102.092429999845,33.762591999821
161,55049,Lubbock,5,Lamb,140,140CR66,10,-102.207580999563,33.8397789998011
162,55057,Lubbock,5,Lamb,140,140CR65,11,-102.190300000345,33.8280749996616
163,55073,Lubbock,5,Lamb,140,140FS23,13,-102.189346000418,33.9343449999218
164,55081,Lubbock,5,Lamb,140,140CR64,9,-102.157143000149,33.8663480001601
165,55097,Lubbock,5,Lamb,140,140FS17,13,-102.205803000308,33.9668499997277
166,55121,Lubbock,0,Hale,96,96CR351,5,-102.063094999634,33.8725619998365
167,56273,Lubbock,5,Lubbock,152,152UA54,4,-101.957320999764,33.658642000428
168,59625,Lubbock,5,Lubbock,152,152UB108,9,-101.784415999599,33.678486000029
169,59793,Lubbock,5,Lubbock,152,152CR170A,8,-101.836983000065,33.7232019999724
170,59825,Lubbock,5,Lubbock,152,152CR163A,12,-101.833382000379,33.8101959998456
171,59897,Lubbock,5,Hale,96,96CR93,14,-101.923133999734,33.9900510003534
172,59913,Lubbock,0,Hale,96,96CR356,11,-101.905708000124,34.0637129996553
173,59921,Lubbock,0,Hale,96,96CR357,13,-101.870810999728,34.0637129996553
174,59937,Lubbock,5,Hale,96,96CR331,13,-101.843498000133,34.0504189999369
175,60001,Lubbock,5,Hale,96,96CR72,10,-101.842758000182,33.9053310001256
176,60025,Lubbock,5,Hale,96,96CR75,3,-101.76520500041,33.8743899995989
177,60041,Lubbock,5,Hale,96,96CR69,10,-101.842299999745,33.9487719997281
178,60049,Lubbock,5,Hale,96,96CR68,4,-101.842689999744,33.9632029997187
179,60057,Lubbock,5,Hale,96,96CR63,13,-101.841568000163,33.9923900002983
180,60065,Lubbock,5,Hale,96,96CR62,8,-101.8420259997,34.0068240004273
181,60089,Lubbock,5,Hale,96,96FS3,5,-101.818549999883,34.0302159999684
182,60113,Lubbock,0,Hale,96,96RS10,4,-101.839264000034,34.0658720002926
